"wtemp","time","day"
27.765,NA,1
27.735,01:00:00,1
27.715,02:00:00,1
27.685,03:00:00,1
27.66,04:00:00,1
27.645,05:00:00,1
27.61,06:00:00,1
27.595,07:00:00,1
27.57,08:00:00,1
27.575,09:00:00,1
27.61,10:00:00,1
27.655,11:00:00,1
27.705,12:00:00,1
27.73,13:00:00,1
27.8,14:00:00,1
27.855,15:00:00,1
27.835,16:00:00,1
27.81,17:00:00,1
27.76,18:00:00,1
27.695,19:00:00,1
27.67,20:00:00,1
27.63,21:00:00,1
27.605,22:00:00,1
27.57,23:00:00,1
27.535,NA,2
27.505,01:00:00,2
27.485,02:00:00,2
27.455,03:00:00,2
27.425,04:00:00,2
27.395,05:00:00,2
27.35,06:00:00,2
27.31,07:00:00,2
27.28,08:00:00,2
27.265,09:00:00,2
27.285,10:00:00,2
27.335,11:00:00,2
27.41,12:00:00,2
27.52,13:00:00,2
27.605,14:00:00,2
27.66,15:00:00,2
27.705,16:00:00,2
27.725,17:00:00,2
27.68,18:00:00,2
27.595,19:00:00,2
27.52,20:00:00,2
27.445,21:00:00,2
27.385,22:00:00,2
27.335,23:00:00,2
27.285,NA,3
27.235,01:00:00,3
27.2,02:00:00,3
27.165,03:00:00,3
27.13,04:00:00,3
27.1,05:00:00,3
27.075,06:00:00,3
27.045,07:00:00,3
27.02,08:00:00,3
27.03,09:00:00,3
27.065,10:00:00,3
27.175,11:00:00,3
27.315,12:00:00,3
27.44,13:00:00,3
27.54,14:00:00,3
27.62,15:00:00,3
27.665,16:00:00,3
27.635,17:00:00,3
27.6,18:00:00,3
27.48,19:00:00,3
27.415,20:00:00,3
27.355,21:00:00,3
27.3,22:00:00,3
27.235,23:00:00,3
27.185,NA,4
27.13,01:00:00,4
27.085,02:00:00,4
27.04,03:00:00,4
27.01,04:00:00,4
26.985,05:00:00,4
26.95,06:00:00,4
26.92,07:00:00,4
26.89,08:00:00,4
26.915,09:00:00,4
26.98,10:00:00,4
27.135,11:00:00,4
27.26,12:00:00,4
27.385,13:00:00,4
27.66,14:00:00,4
27.825,15:00:00,4
27.87,16:00:00,4
27.79,17:00:00,4
27.61,18:00:00,4
27.46,19:00:00,4
27.395,20:00:00,4
27.335,21:00:00,4
27.275,22:00:00,4
27.2,23:00:00,4
